Vardas         Pavardė            ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  Egzaminas
Vardas1        Pavardė1           8    1    2    9    1    3    10   0    6    10
Vardas2        Pavardė2           8    1    1    9    10   6    2    2    8    7
Vardas3        Pavardė3           10   4    9    8    1    7    4    3    3    3
Vardas4        Pavardė4           4    7    6    2    6    2    7    7    1    5
Vardas5        Pavardė5           6    6    1    4    7    3    10   5    9    3
Vardas6        Pavardė6           8    0    7    3    0    2    5    3    4    1
Vardas7        Pavardė7           9    3    8    10   6    10   2    0    5    8
Vardas8        Pavardė8           10   8    10   8    6    8    3    6    3    1
Vardas9        Pavardė9           6    5    8    8    9    6    5    8    1    3
Vardas10       Pavardė10          7    6    9    4    1    9    4    2    4    9
Vardas11       Pavardė11          0    4    6    3    2    8    4    2    0    8
Vardas12       Pavardė12          5    9    8    3    7    7    3    0    2    10
Vardas13       Pavardė13          2    7    3    1    2    4    5    5    4    6
Vardas14       Pavardė14          6    0    6    7    8    4    5    9    9    7
Vardas15       Pavardė15          8    10   5    8    6    7    0    5    2    0
Vardas16       Pavardė16          9    3    4    6    9    8    8    7    7    9
Vardas17       Pavardė17          3    2    6    4    4    6    1    3    5    4
Vardas18       Pavardė18          10   0    9    1    3    4    5    7    4    0
Vardas19       Pavardė19          9    3    9    3    2    0    8    7    8    0
Vardas20       Pavardė20          4    6    9    4    0    10   8    1    1    7
Vardas21       Pavardė21          7    9    2    1    3    2    10   0    10   9
Vardas22       Pavardė22          10   4    6    8    0    4    5    1    6    2
Vardas23       Pavardė23          2    10   10   8    7    7    9    5    6    10
Vardas24       Pavardė24          1    4    10   3    0    0    4    9    6    4
Vardas25       Pavardė25          3    5    7    9    2    5    2    4    9    9
Vardas26       Pavardė26          0    7    4    0    3    1    1    0    1    2
Vardas27       Pavardė27          5    10   1    5    2    0    9    1    3    5
Vardas28       Pavardė28          9    5    6    8    8    7    6    9    6    2
Vardas29       Pavardė29          5    1    6    9    10   7    10   2    3    5
Vardas30       Pavardė30          0    5    4    8    0    9    3    3    2    5
Vardas31       Pavardė31          6    7    1    10   8    7    10   0    10   7
Vardas32       Pavardė32          9    6    0    1    5    4    4    3    1    0
Vardas33       Pavardė33          3    7    1    9    9    3    4    10   10   7
Vardas34       Pavardė34          2    4    5    2    7    3    5    3    4    5
Vardas35       Pavardė35          5    2    8    9    9    3    6    1    3    6
Vardas36       Pavardė36          2    0    2    3    9    3    6    4    10   5
Vardas37       Pavardė37          0    5    10   10   5    9    2    0    8    10
Vardas38       Pavardė38          10   8    0    1    3    1    4    1    2    1
Vardas39       Pavardė39          6    4    5    3    7    1    5    6    8    6
Vardas40       Pavardė40          3    10   6    3    0    0    7    2    3    10
Vardas41       Pavardė41          0    6    4    10   1    5    4    2    10   1
Vardas42       Pavardė42          4    2    0    7    8    5    6    5    10   4
Vardas43       Pavardė43          1    6    9    3    7    0    1    7    8    2
Vardas44       Pavardė44          1    1    2    8    7    3    4    1    0    6
Vardas45       Pavardė45          2    8    6    2    4    7    3    9    3    2
Vardas46       Pavardė46          7    0    7    1    3    5    2    10   3    8
Vardas47       Pavardė47          0    5    1    1    3    1    3    10   10   3
Vardas48       Pavardė48          10   5    4    0    9    1    9    0    3    3
Vardas49       Pavardė49          4    9    5    5    2    5    0    6    4    5
Vardas50       Pavardė50          7    8    7    7    4    5    6    3    8    6
Vardas51       Pavardė51          7    4    2    10   4    2    4    1    0    3
Vardas52       Pavardė52          5    9    4    6    10   3    0    9    1    0
Vardas53       Pavardė53          0    1    0    5    5    8    5    3    4    1
Vardas54       Pavardė54          2    3    1    3    3    8    2    4    9    7
Vardas55       Pavardė55          0    2    8    3    7    6    4    2    3    1
Vardas56       Pavardė56          1    9    0    1    6    7    9    5    9    1
Vardas57       Pavardė57          6    9    0    9    3    2    10   6    0    10
Vardas58       Pavardė58          5    3    6    0    1    0    1    2    3    8
Vardas59       Pavardė59          8    8    4    10   5    1    7    9    6    5
Vardas60       Pavardė60          1    4    4    6    8    9    9    0    4    5
Vardas61       Pavardė61          5    6    0    6    4    2    5    5    4    10
Vardas62       Pavardė62          4    8    5    3    1    7    4    0    0    0
Vardas63       Pavardė63          0    10   1    2    2    3    3    7    5    4
Vardas64       Pavardė64          5    3    5    7    5    9    5    6    2    3
Vardas65       Pavardė65          5    5    10   5    4    9    8    7    10   3
Vardas66       Pavardė66          8    6    3    2    5    9    5    3    10   2
Vardas67       Pavardė67          2    0    2    6    3    6    9    7    10   6
Vardas68       Pavardė68          0    2    10   9    0    3    10   5    5    3
Vardas69       Pavardė69          3    10   0    10   5    6    3    8    3    0
Vardas70       Pavardė70          1    9    6    2    1    10   4    7    7    0
Vardas71       Pavardė71          7    6    3    7    4    8    7    2    4    10
Vardas72       Pavardė72          5    3    1    10   10   1    6    1    8    10
Vardas73       Pavardė73          7    0    3    8    6    10   4    10   6    4
Vardas74       Pavardė74          7    5    1    9    1    3    0    6    6    6
Vardas75       Pavardė75          8    6    1    6    7    8    2    9    1    10
Vardas76       Pavardė76          10   7    2    2    1    7    6    10   9    10
Vardas77       Pavardė77          2    5    5    1    10   10   10   2    10   2
Vardas78       Pavardė78          10   7    6    1    2    5    4    0    5    3
Vardas79       Pavardė79          3    3    9    8    4    9    3    6    9    8
Vardas80       Pavardė80          8    1    0    2    7    1    3    8    1    7
Vardas81       Pavardė81          0    5    2    7    7    6    1    7    3    2
Vardas82       Pavardė82          9    0    0    2    2    5    0    9    10   3
Vardas83       Pavardė83          9    9    0    10   6    5    8    1    3    10
Vardas84       Pavardė84          9    4    5    6    5    7    5    2    8    7
Vardas85       Pavardė85          8    8    9    7    4    4    7    8    4    3
